OBJECTID;SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Shape_Leng;Shape_Area
1.0;12;10;0001;00000000;1210000100000000;Mipi;259379;259379;1210000100000000.0;12;10;1;0;0;0;CIRCLE;Mipi Circle;Total;64;275;157;118;28;18;10;0;0;0;254;136;118;91;68;23;184;89;95;111;78;33;109;77;32;81;49;32;2;2;0;0;0;0;26;26;0;2;1;1;2;1;1;0;0;0;0;0;0;0;0;0;164;79;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251682.19252350187;2282933572.864051
2.0;12;10;0002;00000000;1210000200000000;Anini;259380;259380;1210000200000000.0;12;10;2;0;0;0;CIRCLE;Anini Circle;Total;979;4069;2417;1652;665;361;304;19;13;6;2451;1268;1183;2077;1360;717;1992;1057;935;1947;1407;540;1708;1234;474;493;220;273;4;2;2;8;6;2;1203;1006;197;239;173;66;86;35;51;1;1;0;3;2;1;149;135;14;2122;1010;1112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;324302.36234132206;2076956217.281958
3.0;12;09;0001;00000000;1209000100000000;Tuting;259381;259381;1209000100000000.0;12;9;1;0;0;0;CIRCLE;Tuting Circle;Total;849;3915;2129;1786;753;393;360;5;5;0;2974;1513;1461;1608;1077;531;2307;1052;1255;2211;1305;906;1797;1064;733;1149;477;672;16;13;3;4;4;0;628;570;58;414;241;173;386;224;162;18;9;9;1;1;0;9;7;2;1704;824;880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;327894.86954747373;2625250582.7325954
4.0;12;09;0004;00000000;1209000400000000;Gelling;259382;259382;1209000400000000.0;12;9;4;0;0;0;CIRCLE;Gelling Circle;Total;153;742;362;380;175;84;91;0;0;0;723;350;373;272;167;105;470;195;275;478;251;227;379;207;172;309;140;169;4;4;0;1;1;0;65;62;3;99;44;55;97;42;55;0;0;0;0;0;0;2;2;0;264;111;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100135.71205629787;431854216.6149308
5.0;12;10;0003;00000000;1210000300000000;Etalin;259383;259383;1210000300000000.0;12;10;3;0;0;0;CIRCLE;Etalin Circle;Total;289;1575;1021;554;214;104;110;40;34;6;883;464;419;634;472;162;941;549;392;1031;796;235;1008;782;226;282;134;148;3;3;0;2;2;0;721;643;78;23;14;9;16;8;8;0;0;0;0;0;0;7;6;1;544;225;319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;459134.2401234284;4352742505.621544
6.0;12;07;0002;00000000;1207000200000000;Monigong;259384;259384;1207000200000000.0;12;7;2;0;0;0;CIRCLE;Monigong Circle;Total;516;3025;1448;1577;515;259;256;0;0;0;3003;1435;1568;550;382;168;2475;1066;1409;938;550;388;870;526;344;741;415;326;2;2;0;4;3;1;123;106;17;68;24;44;66;24;42;0;0;0;0;0;0;2;0;2;2087;898;1189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;167579.9054802824;1366008267.661392
7.0;12;09;0005;00000000;1209000500000000;Singa;259385;259385;1209000500000000.0;12;9;5;0;0;0;CIRCLE;Singa Circle;Total;182;950;451;499;207;92;115;0;0;0;899;424;475;299;182;117;651;269;382;590;280;310;462;217;245;431;188;243;0;0;0;1;1;0;30;28;2;128;63;65;122;62;60;1;0;1;0;0;0;5;1;4;360;171;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;125843.68377348225;777118943.373335
8.0;12;09;0003;00000000;1209000300000000;Palling;259386;259386;1209000300000000.0;12;9;3;0;0;0;CIRCLE;Palling Circle;Total;147;736;375;361;130;69;61;0;0;0;733;372;361;236;139;97;500;236;264;438;220;218;362;186;176;307;150;157;1;1;0;4;2;2;50;33;17;76;34;42;74;32;42;2;2;0;0;0;0;0;0;0;298;155;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71696.98857575536;164081984.187357
9.0;12;09;0002;00000000;1209000200000000;Migging;259387;259387;1209000200000000.0;12;9;2;0;0;0;CIRCLE;Migging Circle;Total;260;1223;745;478;211;116;95;47;39;8;817;419;398;395;283;112;828;462;366;753;501;252;713;478;235;296;124;172;4;2;2;1;1;0;412;351;61;40;23;17;30;15;15;2;1;1;1;0;1;7;7;0;470;244;226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152137.99602975565;544953941.3139062
10.0;12;07;0004;00000000;1207000400000000;Payum;259388;259388;1207000400000000.0;12;7;4;0;0;0;CIRCLE;Payum Circle;Total;315;1469;760;709;235;131;104;0;0;0;1387;711;676;499;304;195;970;456;514;783;399;384;680;347;333;572;269;303;0;0;0;8;4;4;100;74;26;103;52;51;53;32;21;3;0;3;16;1;15;31;19;12;686;361;325;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157564.43551759413;865513438.8967266
