SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU
30;01;0001;00001300;3001000100001300;Torxem;607635;3001000000000000.0;30;1;1;1300;0;0;VILLAGE;Torxem;Rural;502;2491;1252;1239;298;159;139;178;90;88;30;20;10;1621;900;721;870;352;518;1266;737;529;946;616;330;303;145;158;59;37;22;44;30;14;540;404;136;320;121;199;152;56;96;102;26;76;4;1;3;62;38;24;1225;515;710;30;1;1;1;1300;Torxem;996;502;2491;1252;1239;178;90;88;30;20;10;1;5;0;1;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;1;1;0;0;0;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;1;1;0;0;0;3;0;1;1;0;2;3;2;3;2;0;3;0;3;2;0;3;0;3;0;3;1;0;3;1;0;0;3;1;2;2;2;2;2;PERNEM;14;1;0;0;0;1;1;N;;1;244329;144046;COUNTRY LIQUOR;CASHEW NUTS;BETEL NUTS;45.37;0.0;0;0.5;2.0;0.0;0;0;13.0;0.0;0;11.0;26.5;546.95;135.34;241.55
30;01;0001;00001400;3001000100001400;Mopa;607636;3001000000000000.0;30;1;1;1400;0;0;VILLAGE;Mopa;Rural;194;931;490;441;94;44;50;81;43;38;0;0;0;640;389;251;291;101;190;504;284;220;258;169;89;132;60;72;20;12;8;4;2;2;102;95;7;246;115;131;123;59;64;66;27;39;26;6;20;31;23;8;427;206;221;30;1;1;1;1400;Mopa;875;194;931;490;441;81;43;38;0;0;0;1;2;0;1;0;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;2;0;2;0;0;0;2;1;1;0;2;3;2;3;2;0;3;0;3;2;0;3;0;3;0;3;1;0;3;1;0;0;3;1;2;2;2;2;2;PERNEM;15;1;0;0;0;1;1;N;;1;161494;105503;COUNTRY LIQUOR;CASHEW NUTS;ARECA NUTS;147.48;0.0;0;0.0;0.0;0.0;0;0;9.0;0.0;0;2.57;11.57;386.21;180.17;149.86
30;01;0001;00001200;3001000100001200;Tamboxem;607637;3001000000000000.0;30;1;1;1200;0;0;VILLAGE;Tamboxem;Rural;120;581;310;271;53;32;21;107;54;53;0;0;0;435;252;183;146;58;88;190;158;32;100;85;15;5;5;0;4;4;0;1;1;0;90;75;15;90;73;17;22;22;0;33;18;15;0;0;0;35;33;2;391;152;239;30;1;1;1;1200;Tamboxem;154;120;581;310;271;107;54;53;0;0;0;1;1;0;0;1;0;0;0;2;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;1;1;0;0;0;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;1;1;0;0;0;0;1;1;1;0;2;2;2;3;1;1;0;0;2;2;0;2;0;2;0;2;1;0;2;1;0;0;3;1;2;2;2;2;2;PERMEN;9;1;0;0;0;1;1;N;;1;161494;105503;COUNTRY LIQUOR;BETEL NUTS;CASHEW NUTS;32.32;0.0;0;0.0;0.0;0.0;0;0;1.96;0.0;0;0.0;1.96;66.69;23.17;29.48
30;01;0001;00001100;3001000100001100;Uguem;607638;3001000000000000.0;30;1;1;1100;0;0;VILLAGE;Uguem;Rural;216;1084;556;528;101;50;51;51;23;28;0;0;0;828;485;343;256;71;185;449;277;172;325;220;105;170;79;91;0;0;0;1;0;1;154;141;13;124;57;67;60;24;36;38;10;28;1;1;0;25;22;3;635;279;356;30;1;1;1;1100;Uguem;343;216;1084;556;528;51;23;28;0;0;0;1;1;0;1;0;0;0;0;2;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;1;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;1;0;1;0;0;1;0;1;1;0;2;2;2;2;2;0;2;0;2;2;0;2;0;2;0;2;1;0;2;1;0;2;0;1;2;2;2;2;2;PERNEM;8;1;0;0;0;1;1;N;;1;161494;105503;COUNTRY LIQUOR;CASHEW NUTS;ARECANUTS;0.0;9.03;0;0.0;0.0;0.0;0;0;0.0;0.0;0;10.0;19.03;198.35;78.42;47.46
30;01;0001;00001500;3001000100001500;Chandel;607639;3001000000000000.0;30;1;1;1500;0;0;VILLAGE;Chandel;Rural;220;1024;550;474;132;73;59;42;21;21;34;17;17;622;384;238;402;166;236;520;330;190;406;287;119;128;61;67;12;6;6;5;5;0;261;215;46;114;43;71;32;11;21;55;18;37;8;1;7;19;13;6;504;220;284;30;1;1;1;1500;Chandel;604;220;1024;550;474;42;21;21;34;17;17;1;3;0;0;1;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;1;1;2;2;2;2;2;2;1;2;T;0;;1;0;2;0;0;1;0;1;1;0;2;3;2;1;2;0;3;0;3;2;0;3;0;3;0;3;1;0;3;1;0;0;3;1;2;2;2;2;2;PERNEM;18;1;0;0;0;1;1;N;;1;79676;49721;BANANA;CASHEW NUTS;CHILLIES;194.62;0.0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;2.98;2.98;158.6;194.67;53.1
30;01;0001;00001600;3001000100001600;Alorna;607640;3001000000000000.0;30;1;1;1600;0;0;VILLAGE;Alorna;Rural;728;3437;1729;1708;372;182;190;231;111;120;0;0;0;2328;1340;988;1109;389;720;2008;1069;939;1024;764;260;335;241;94;82;42;40;39;25;14;568;456;112;984;305;679;678;208;470;220;50;170;24;9;15;62;38;24;1429;660;769;30;1;1;1;1600;Alorna;2185;728;3437;1729;1708;231;111;120;0;0;0;1;5;0;4;0;2;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;2;2;0;0;0;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;2;0;1;0;0;0;2;1;1;0;2;3;1;0;2;0;3;0;3;2;0;3;0;3;0;3;1;0;3;3;0;0;3;1;2;2;1;2;2;PERNEM;25;1;0;0;0;1;1;N;;1;337670;120589;COUNTRY LIQUOR;CASHEW NUTS;BANANA;396.4;0.0;0;0.0;1.9;0.0;0;0;4.0;0.0;0;12.0;17.9;906.13;724.5;140.61
30;01;0001;00000900;3001000100000900;Varconda;607641;3001000000000000.0;30;1;1;900;0;0;VILLAGE;Varconda;Rural;370;1657;826;831;176;94;82;47;18;29;0;0;0;1185;661;524;472;165;307;805;482;323;451;350;101;119;80;39;29;17;12;11;6;5;292;247;45;354;132;222;178;46;132;110;45;65;5;1;4;61;40;21;852;344;508;30;1;1;1;900;Varconda;1127;370;1657;826;831;47;18;29;0;0;0;1;9;0;2;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;1;1;0;0;1;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;1;1;0;0;0;1;0;1;1;0;2;3;2;2;2;0;3;0;3;1;0;3;1;0;0;3;1;0;3;2;0;0;3;1;2;2;1;2;2;PERNEM;13;1;0;0;0;1;1;N;;1;137334;123452;COUNTRY LIQUOR;CASHEW NUTS;ARECANUTS;0.0;0.0;0;0.0;0.0;0.0;0;0;0.0;0.0;0;89.64;89.64;493.47;354.51;189.28
30;01;0001;00001000;3001000100001000;Amberem;607642;3001000000000000.0;30;1;1;1000;0;0;VILLAGE;Amberem;Rural;68;354;214;140;30;19;11;0;0;0;0;0;0;211;132;79;143;82;61;133;125;8;56;56;0;1;1;0;4;4;0;0;0;0;51;51;0;77;69;8;5;4;1;13;8;5;1;1;0;58;56;2;221;89;132;30;1;1;1;1000;Amberem;204;68;354;214;140;0;0;0;0;0;0;2;0;1;0;1;0;0;0;2;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;2;0;1;0;0;0;1;1;1;0;2;2;2;3;2;0;2;0;2;2;0;2;0;2;0;2;2;0;2;0;1;0;3;1;2;2;2;2;2;PERNEM;6;1;0;0;0;1;1;N;;1;127494;29515;COUNTRY LIQUOR;CASHEW NUTS;;0.0;0.0;0;0.0;0.0;0.0;0;0;0.0;2.0;0;3.36;5.36;86.22;43.04;69.45
30;01;0001;00000700;3001000100000700;Poroscodem;607643;3001000000000000.0;30;1;1;700;0;0;VILLAGE;Poroscodem;Rural;141;732;417;315;76;42;34;129;63;66;0;0;0;508;305;203;224;112;112;505;325;180;324;265;59;49;25;24;21;12;9;18;12;6;236;216;20;181;60;121;100;40;60;28;8;20;42;5;37;11;7;4;227;92;135;30;1;1;1;700;Poroscodem;179;141;732;417;315;129;63;66;0;0;0;1;2;0;1;0;0;0;0;1;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;1;1;0;0;0;0;1;1;1;0;2;2;2;1;2;0;1;0;1;2;0;1;0;1;0;1;2;0;1;0;1;0;3;1;2;2;2;2;2;PERNEM;4;1;0;0;0;1;1;N;;1;245012;162991;COUNTRY LIQUOR;CASHEW NUTS;ARECANUTS;0.0;0.0;0;0.0;0.0;0.0;0;0;20.0;0.0;0;21.51;41.51;67.21;19.09;50.9
30;01;0001;00000600;3001000100000600;Pernem(Rural);607644;3001000000000000.0;30;1;1;600;0;0;VILLAGE;Pernem(Rural);Rural;517;2586;1472;1114;272;162;110;21;15;6;0;0;0;1761;1055;706;825;417;408;1422;976;446;1040;817;223;226;92;134;6;4;2;4;1;3;804;720;84;382;159;223;207;67;140;76;15;61;5;0;5;94;77;17;1164;496;668;30;1;1;1;600;Pernem(Rural);2351;517;2586;1472;1114;21;15;6;0;0;0;1;8;0;0;1;0;0;0;1;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;1;2;2;2;2;2;2;2;2;T;0;;1;0;1;0;0;3;0;1;1;0;1;0;2;2;2;0;1;0;1;2;0;1;0;1;0;1;1;0;1;1;0;0;3;1;2;2;1;2;2;PERNEM;1;1;0;0;0;1;1;N;M;1;476452;189846;COUNTRY LIQUOR;CASHEW NUTS;BETEL NUTS;0.0;0.0;0;0.0;0.0;0.0;0;0;0.0;24.0;0;20.42;44.42;1149.78;701.4;455.27
