SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU
32;03;0001;00020300;3203000100020300;ANCHUKUNNU;608054;3203000000000000.0;32;3;1;20300;0;0;VILLAGE;Anchukunnu;Rural;3689;18049;9167;8882;2426;1311;1115;192;96;96;4603;2320;2283;12965;6949;6016;5084;2218;2866;6806;4979;1827;4723;3785;938;1129;1002;127;1518;1111;407;44;28;16;2032;1644;388;2083;1194;889;242;119;123;1192;705;487;36;19;17;613;351;262;11243;4188;7055;32;3;1;1;20300;ANCHUKUNNU;3072;3689;18049;9167;8882;192;96;96;4603;2320;2283;1;4;0;3;0;2;0;0;3;0;0;0;0;1;0;2;0;0;1;0;1;0;0;0;3;0;0;0;0;1;3;2;0;1;0;0;5;0;1;0;1;1;1;1;1;1;0;0;1;0;W;0;;1;3;0;0;0;100;0;1;1;0;0;3;0;3;1;1;0;2;0;2;0;3;0;3;0;3;1;0;3;2;0;0;3;1;1;1;0;0;0;KALPETTA;26;1;1;1;0;0;1;N;M;1;1983895.0;1866690.0;COFFEE;PEPPER;ARECANUT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.44;0.0;0.0;0.0;38.44;2939.64;0.0;93.92
32;03;0001;00020100;3203000100020100;CHERUKOTTUR;608055;3203000000000000.0;32;3;1;20100;0;0;VILLAGE;Cherukottur;Rural;2207;10806;5495;5311;1566;810;756;124;58;66;2262;1141;1121;7581;4118;3463;3225;1377;1848;4291;3057;1234;2921;2311;610;661;608;53;866;589;277;53;38;15;1341;1076;265;1370;746;624;85;58;27;570;288;282;7;3;4;708;397;311;6515;2438;4077;32;3;1;1;20100;CHERUKOTTUR;1810;2207;10806;5495;5311;124;58;66;2262;1141;1121;1;1;0;0;1;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;2;2;0;0;0;1;0;3;0;1;0;1;1;1;1;1;1;0;0;1;1;W;0;;1;1;0;0;0;200;0;1;1;0;0;3;0;3;2;0;3;0;3;2;0;2;0;2;0;2;1;1;0;3;0;0;3;1;1;1;0;0;0;KALPETTA;24;1;0;0;0;1;1;N;M;1;1587108.0;1493352.0;COFFEE;PEPPER;ARECANUT;0.0;23.49;0.0;0.0;0.0;0.0;0.0;0.0;80.69;0.0;0.0;0.0;104.18;1482.16;62.29;161.37
32;03;0001;00019900;3203000100019900;EDAVAKA;608056;3203000000000000.0;32;3;1;19900;0;0;VILLAGE;Edavaka;Rural;3219;15620;7939;7681;2227;1129;1098;247;134;113;2163;1100;1063;11760;6283;5477;3860;1656;2204;6388;4340;2048;4458;3635;823;1289;1103;186;1064;815;249;74;61;13;2031;1656;375;1930;705;1225;550;150;400;789;348;441;24;4;20;567;203;364;9232;3599;5633;32;3;1;1;19900;EDAVAKA;2514;3219;15620;7939;7681;247;134;113;2163;1100;1063;1;6;0;4;0;1;0;0;3;0;0;1;0;1;0;3;0;0;0;1;1;0;1;0;3;0;0;4;1;0;4;4;0;0;0;0;10;0;1;0;1;1;1;1;1;1;1;0;1;0;W;0;;1;2;0;0;0;250;0;1;1;0;0;3;0;3;1;1;0;0;3;1;2;0;2;0;2;0;1;1;0;2;0;0;3;1;1;1;0;0;0;KALPETTA;52;1;0;0;0;1;1;N;M;1;3047157.0;1810479.0;PEPPER;COFFEE;ARECANUT;0.0;15.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.2;2342.63;56.06;100.11
32;03;0001;00020600;3203000100020600;KANJIRANGAD;608057;3203000000000000.0;32;3;1;20600;0;0;VILLAGE;Kanjirangad;Rural;2369;11363;5674;5689;1641;868;773;317;151;166;1793;911;882;8729;4538;4191;2634;1136;1498;4455;3097;1358;3276;2512;764;1197;1019;178;679;505;174;28;20;8;1372;968;404;1179;585;594;372;114;258;503;294;209;7;4;3;297;173;124;6908;2577;4331;32;3;1;1;20600;KANJIRANGAD;3546;2369;11363;5674;5689;317;151;166;1793;911;882;1;1;0;2;0;1;0;0;3;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;3;0;0;0;0;3;2;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;W;0;;1;3;0;0;0;15;0;1;1;0;0;3;0;3;2;0;1;0;1;2;0;3;0;3;0;3;1;0;2;2;0;0;3;1;1;1;0;0;0;KALPETTA;40;1;0;0;0;1;1;N;M;1;694246.0;1155532.0;COFFEE;TEA;RUBBER;805.22;4.96;42.43;12.3;46.48;0.0;0.0;0.0;22.57;0.0;0.0;670.28;799.02;1358.06;580.46;3.24
32;03;0001;00019400;3203000100019400;MANANTHAVADY;608058;3203000000000000.0;32;3;1;19400;0;0;VILLAGE;Mananthavady;Rural;7106;33086;16582;16504;4397;2285;2112;1517;760;757;3580;1746;1834;25244;13113;12131;7842;3469;4373;12474;9046;3428;10273;7683;2590;1308;1027;281;1936;1344;592;172;128;44;6857;5184;1673;2201;1363;838;166;108;58;769;507;262;58;27;31;1208;721;487;20612;7536;13076;32;3;1;1;19400;MANANTHAVADY;5434;7106;33086;16582;16504;1517;760;757;3580;1746;1834;1;10;0;3;0;2;1;3;0;0;1;1;0;1;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;3;0;1;3;5;0;2;0;1;0;1;1;0;1;0;1;1;0;0;0;W;0;;1;4;0;1;1;2450;0;1;1;0;0;3;0;3;1;5;0;1;0;1;1;0;2;0;1;0;1;4;0;13;0;1;0;1;1;1;0;0;0;KALPETTA;34;1;0;0;0;1;1;N;M;1;11201867.0;11011351.0;BRICKS;;;1413.3;60.7;0.0;0.0;0.0;0.0;0.0;0.0;450.38;0.0;0.0;0.0;511.08;2780.1;565.93;163.59
32;03;0001;00020000;3203000100020000;NALLOORNAD;608059;3203000000000000.0;32;3;1;20000;0;0;VILLAGE;Nalloornad;Rural;3169;15548;7920;7628;1991;1020;971;270;185;85;2747;1431;1316;12137;6463;5674;3411;1457;1954;6012;4262;1750;4142;3164;978;1042;874;168;1304;940;364;24;17;7;1772;1333;439;1870;1098;772;270;140;130;1223;714;509;7;4;3;370;240;130;9536;3658;5878;32;3;1;1;20000;NALLOORNAD;2216;3169;15548;7920;7628;270;185;85;2747;1431;1316;1;5;0;1;0;2;2;1;0;0;0;0;1;1;0;2;1;0;0;0;0;0;0;0;2;0;0;0;0;2;3;0;0;0;2;0;2;0;1;0;1;1;1;1;0;1;1;0;0;0;W;0;;1;3;0;0;0;614;0;1;1;0;0;3;1;0;1;0;2;1;0;2;0;2;0;2;0;2;1;0;2;4;0;0;3;1;1;1;0;0;0;KALPETTA;30;1;0;0;0;1;1;N;M;1;2493129.0;1480974.0;RUBBER;COFFEE;GINGER;0.0;8.5;330.45;116.35;0.0;12.35;0.0;0.0;50.12;0.0;0.0;17.81;535.58;1577.7;20.16;82.56
32;03;0001;00020200;3203000100020200;PANAMARAM;608060;3203000000000000.0;32;3;1;20200;0;0;VILLAGE;Panamaram;Rural;2447;11651;5891;5760;1592;817;775;563;289;274;2620;1300;1320;8162;4368;3794;3489;1523;1966;4761;3372;1389;3357;2600;757;802;701;101;794;538;256;57;38;19;1704;1323;381;1404;772;632;158;71;87;704;374;330;17;8;9;525;319;206;6890;2519;4371;32;3;1;1;20200;PANAMARAM;2668;2447;11651;5891;5760;563;289;274;2620;1300;1320;1;7;0;3;0;2;1;0;3;0;1;0;0;1;0;3;0;0;0;1;0;0;1;0;3;0;0;0;1;0;1;2;0;1;2;0;3;0;1;0;1;1;1;1;1;1;1;0;1;1;W;0;;1;3;0;1;1;450;0;1;1;0;0;3;0;3;1;3;0;1;0;1;2;0;1;0;2;0;1;1;0;5;0;1;0;1;1;1;0;0;0;KALPETTA;18;1;0;0;0;1;1;N;M;1;1983895.0;1866690.0;BRICKS;;;587.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.37;0.0;0.0;0.0;364.37;1501.31;47.36;167.06
32;03;0001;00019300;3203000100019300;PAYYAMPALLY;608061;3203000000000000.0;32;3;1;19300;0;0;VILLAGE;Payyampally;Rural;2685;12391;6276;6115;1604;810;794;127;73;54;3239;1559;1680;9318;4947;4371;3073;1329;1744;5655;3715;1940;4681;3307;1374;1274;1064;210;1486;934;552;33;22;11;1888;1287;601;974;408;566;244;105;139;447;166;281;10;5;5;273;132;141;6736;2561;4175;32;3;1;1;19300;PAYYAMPALLY;2555;2685;12391;6276;6115;127;73;54;3239;1559;1680;1;9;0;3;0;2;1;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;2;0;0;3;1;0;4;0;1;0;0;0;3;0;1;0;1;1;1;1;0;1;1;0;0;0;W;0;;1;2;0;0;0;35;0;1;1;0;0;3;0;3;1;1;0;0;3;2;0;2;0;2;0;2;1;0;2;3;0;0;2;1;1;1;0;0;0;KALPETTA;27;1;1;1;0;0;1;N;M;1;5600934.0;5505675.0;COFFEE;PEPPER;GINGER;0.0;582.12;20.23;10.12;91.05;0.0;0.0;0.0;101.17;0.0;0.0;197.67;1002.36;1532.4;0.0;20.24
32;03;0001;00019600;3203000100019600;PERIYA;608062;3203000000000000.0;32;3;1;19600;0;0;VILLAGE;Periya;Rural;2400;11469;5755;5714;1626;824;802;393;190;203;2534;1290;1244;8404;4417;3987;3065;1338;1727;4374;3263;1111;3276;2566;710;1141;1023;118;885;641;244;26;17;9;1224;885;339;1098;697;401;162;113;49;665;408;257;20;9;11;251;167;84;7095;2492;4603;32;3;1;1;19600;PERIYA;6250;2400;11469;5755;5714;393;190;203;2534;1290;1244;1;3;0;1;0;0;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;1;1;0;2;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0;W;0;;1;4;0;0;0;0;3;1;1;0;0;3;0;3;1;1;0;1;0;2;0;3;0;3;0;3;1;0;3;3;0;0;3;1;1;1;0;0;0;KOOTHUPARAMBA;47;1;0;0;0;1;1;N;M;1;1104003.0;782368.0;FURNITURE;TEA;COFFEE;3037.11;0.0;3.23;16.91;6.07;0.02;0.0;0.08;14.19;0.0;0.0;1175.66;1216.16;1406.88;506.09;83.76
32;03;0001;00020400;3203000100020400;PORUNNANORE;608063;3203000000000000.0;32;3;1;20400;0;0;VILLAGE;Porunnanore;Rural;3796;19609;9864;9745;2946;1536;1410;281;138;143;3370;1682;1688;14015;7522;6493;5594;2342;3252;6925;5186;1739;4838;4087;751;1129;1065;64;1641;1234;407;22;22;0;2046;1766;280;2087;1099;988;296;140;156;1276;688;588;13;2;11;502;269;233;12684;4678;8006;32;3;1;1;20400;PORUNNANORE;2865;3796;19609;9864;9745;281;138;143;3370;1682;1688;1;10;0;4;0;0;0;0;2;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;3;1;0;2;0;0;1;1;0;4;2;1;0;0;1;0;1;1;1;0;0;0;0;W;0;;1;3;0;0;0;123;0;1;1;0;0;3;0;3;1;1;0;1;0;1;1;0;1;0;0;3;1;0;2;3;0;0;3;1;1;1;0;0;0;KALPETTA;30;1;1;0;0;0;1;N;M;1;1529475.0;1128996.0;WOODEN FURNITURE;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2636.0;80.0;149.0
