OBJECTID;SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Shape_Leng;Shape_Area
1.0;17;05;0001;00000000;1705000100000000;Umling;261546;261546;1705000100000000.0;17;5;1;0;0;0;TEHSIL;Umling;Total;13808;75622;38874;36748;15837;8116;7721;97;62;35;65152;32902;32250;38384;21445;16939;37238;17429;19809;35073;20105;14968;28357;17613;10744;16366;9294;7072;4079;2504;1575;384;245;139;7528;5570;1958;6716;2492;4224;3219;1254;1965;1776;615;1161;216;67;149;1505;556;949;40549;18769;21780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;281381.149654178;1246004127.9992404
2.0;17;05;0002;00000000;1705000200000000;Umsning;261547;261547;1705000200000000.0;17;5;2;0;0;0;TEHSIL;Umsning;Total;21036;117168;60445;56723;26709;13460;13249;203;115;88;102627;51872;50755;60370;32049;28321;56798;28396;28402;54334;31334;23000;42880;27430;15450;25828;15231;10597;6477;4133;2344;586;392;194;9989;7674;2315;11454;3904;7550;5240;1648;3592;4126;1463;2663;444;130;314;1644;663;981;62834;29111;33723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225972.8975530217;1218131264.544091
3.0;17;02;0001;00000000;1702000100000000;Resubelpara;261548;261548;1702000100000000.0;17;2;1;0;0;0;TEHSIL;Resubelpara;Total;15341;86189;43738;42451;16698;8533;8165;125;70;55;83642;42315;41327;46032;25032;21000;40157;18706;21451;38248;20869;17379;24979;16538;8441;14747;9468;5279;3850;2531;1319;676;185;491;5706;4354;1352;13269;4331;8938;7878;2515;5363;3396;1212;2184;529;86;443;1466;518;948;47941;22869;25072;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182764.50485666242;602438281.0003834
4.0;17;01;0003;00000000;1701000300000000;Tikrikilla;261549;261549;1701000300000000.0;17;1;3;0;0;0;TEHSIL;Tikrikilla;Total;9263;49360;24866;24494;9077;4652;4425;403;211;192;44958;22589;22369;18763;10963;7800;30597;13903;16694;22372;12484;9888;17132;10508;6624;12510;7290;5220;1307;807;500;429;142;287;2886;2269;617;5240;1976;3264;2759;1076;1683;1580;555;1025;164;73;91;737;272;465;26988;12382;14606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91098.99292806524;355140131.0551739
5.0;17;01;0001;00000000;1701000100000000;Selsella;261550;261550;1701000100000000.0;17;1;1;0;0;0;TEHSIL;Selsella;Total;23657;132963;67477;65486;27598;13981;13617;2656;1343;1313;66578;33478;33100;43846;25625;18221;89117;41852;47265;47044;31740;15304;35536;27548;7988;16173;12161;4012;8415;6431;1984;1207;564;643;9741;8392;1349;11508;4192;7316;3746;1324;2422;5377;1910;3467;607;113;494;1778;845;933;85919;35737;50182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150638.3944114671;511864565.3884753
6.0;17;02;0002;00000000;1702000200000000;Dambo Rongjeng;261551;261551;1702000200000000.0;17;2;2;0;0;0;TEHSIL;Dambo Rongjeng;Total;14015;79224;40273;38951;16532;8388;8144;4;3;1;77226;39051;38175;37831;21016;16815;41393;19257;22136;35353;19078;16275;23435;15243;8192;18545;11604;6941;1760;1191;569;341;219;122;2789;2229;560;11918;3835;8083;7947;2516;5431;1902;700;1202;919;149;770;1150;470;680;43871;21195;22676;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155664.3363459118;817114065.8615273
7.0;17;01;0002;00000000;1701000200000000;Dadenggiri;261552;261552;1701000200000000.0;17;1;2;0;0;0;TEHSIL;Dadenggiri;Total;6350;32017;16161;15856;6318;3221;3097;1;0;1;31230;15744;15486;7981;4932;3049;24036;11229;12807;18193;9205;8988;13673;7926;5747;12094;6939;5155;666;338;328;222;103;119;691;546;145;4520;1279;3241;3918;1097;2821;338;87;251;110;31;79;154;64;90;13824;6956;6868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110199.77948058015;507950757.98671144
8.0;17;02;0003;00000000;1702000300000000;Songsak;261553;261553;1702000300000000.0;17;2;3;0;0;0;TEHSIL;Songsak;Total;7950;41992;21362;20630;9301;4661;4640;0;0;0;41466;21030;20436;14744;8670;6074;27248;12692;14556;20757;11020;9737;16791;9774;7017;14348;8085;6263;969;602;367;219;105;114;1255;982;273;3966;1246;2720;2517;866;1651;506;164;342;103;28;75;840;188;652;21235;10342;10893;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151636.0592297333;634884249.7331811
9.0;17;04;0001;00000000;1704000100000000;Mawshynrut;261554;261554;1704000100000000.0;17;4;1;0;0;0;TEHSIL;Mawshynrut;Total;9571;56222;28684;27538;12926;6476;6450;4;2;2;55242;28072;27170;26838;14635;12203;29384;14049;15335;25011;13288;11723;19991;11148;8843;17138;9222;7916;921;543;378;184;88;96;1748;1295;453;5020;2140;2880;3469;1436;2033;934;439;495;168;70;98;449;195;254;31211;15396;15815;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;251936.87578921768;1581145254.914112
10.0;17;04;0002;00000000;1704000200000000;Nongstoin;261555;261555;1704000200000000.0;17;4;2;0;0;0;TEHSIL;Nongstoin;Total;12408;75512;38397;37115;18052;9142;8910;2;2;0;74310;37751;36559;40326;20909;19417;35186;17488;17698;32043;17254;14789;24369;14081;10288;15863;8353;7510;2477;1470;1007;258;160;98;5771;4098;1673;7674;3173;4501;3161;1305;1856;3079;1317;1762;264;117;147;1170;434;736;43469;21143;22326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226870.40549320987;1149987456.3483198
