SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Field208;Field209;Field210;Field211
14;07;0002;00168200;1407000200168200;Makeng Chonglou;259622;259622;1407000200170000.0;14;7;2;168200;0;0;VILLAGE;MaKeng Chonglou;Rural;86;505;265;240;57;27;30;0;0;0;15;8;7;264;158;106;241;107;134;245;126;119;129;94;35;118;87;31;3;1;2;0;0;0;8;6;2;116;32;84;107;31;76;9;1;8;0;0;0;0;0;0;260;139;121;14;7;2;2;168200;MAKENG CHONGLOU;281.9;86;505;265;240;0;0;0;15;8;7;1;1;0;1;0;0;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;R;0;TK;2;0;2;0;0;0;2;2;0;2;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;3;2;0;2;0;2;0;3;0;1;1;0;0;0;Imphal;21;1;1;0;0;0;2;;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168100;1407000200168100;Matakhong;259628;259628;1407000200170000.0;14;7;2;168100;0;0;VILLAGE;Matakhong;Rural;32;204;109;95;24;7;17;0;0;0;0;0;0;97;67;30;107;42;65;104;59;45;62;57;5;55;55;0;4;1;3;1;0;1;2;1;1;42;2;40;1;1;0;11;1;10;14;0;14;16;0;16;100;50;50;14;7;2;2;168100;MATAKHONG;93.39;32;204;109;95;0;0;0;0;0;0;1;1;0;0;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;R;0;TK;2;0;2;0;0;0;2;2;0;2;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;3;2;0;2;0;2;0;3;0;1;1;0;0;0;Imphal;20;1;1;0;0;0;2;;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168300;1407000200168300;Makeng Ngunlou;259629;259629;1407000200170000.0;14;7;2;168300;0;0;VILLAGE;Makeng Ngunlou;Rural;73;489;245;244;58;26;32;0;0;0;0;0;0;282;165;117;207;80;127;194;112;82;126;91;35;78;59;19;14;8;6;5;4;1;29;20;9;68;21;47;46;12;34;0;0;0;16;4;12;6;5;1;295;133;162;14;7;2;2;168300;MAKENG NGUNLOU;0.0;73;489;245;244;0;0;0;0;0;0;1;1;0;0;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;R;0;TK;2;0;2;0;0;0;2;2;0;2;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;3;2;0;2;0;2;0;3;0;1;1;0;0;0;Imphal;22;1;1;0;0;0;1;N;M;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168000;1407000200168000;Khongjil Khongjal;259630;259630;1407000200170000.0;14;7;2;168000;0;0;VILLAGE;Khongjil Khongjal;Rural;34;230;119;111;40;20;20;0;0;0;0;0;0;93;49;44;137;70;67;68;50;18;45;44;1;41;40;1;0;0;0;0;0;0;4;4;0;23;6;17;3;3;0;0;0;0;16;0;16;4;3;1;162;69;93;14;7;2;2;168000;KHONGJIL KHONGJAL;236.54;34;230;119;111;0;0;0;0;0;0;2;0;1;0;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;TW;0;R;2;0;1;0;0;0;1;2;0;1;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;3;2;0;1;0;1;0;3;0;1;1;0;0;0;Imphal;18;1;1;0;0;0;2;;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168700;1407000200168700;Sadu Koireng;259633;259633;1407000200170000.0;14;7;2;168700;0;0;VILLAGE;Sadu Koireng;Rural;82;474;251;223;79;49;30;0;0;0;0;0;0;213;142;71;261;109;152;330;164;166;226;121;105;215;111;104;0;0;0;0;0;0;11;10;1;104;43;61;100;42;58;1;0;1;2;1;1;1;0;1;144;87;57;14;7;2;2;168700;SADU KOIRENG;0.0;82;474;251;223;0;0;0;0;0;0;1;1;0;0;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;S;0;R;2;0;1;0;0;0;2;2;0;1;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;2;2;0;1;0;1;0;3;0;1;1;0;0;0;Imphal;20;1;1;0;0;0;2;;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168500;1407000200168500;Thangal Surung;259634;259634;1407000200170000.0;14;7;2;168500;0;0;VILLAGE;Thangal Surung;Rural;56;340;169;171;54;32;22;0;0;0;0;0;0;148;83;65;192;86;106;150;84;66;119;76;43;86;58;28;3;2;1;16;3;13;14;13;1;31;8;23;7;2;5;3;0;3;5;0;5;16;6;10;190;85;105;14;7;2;2;168500;THANGAL SURUNG;353.35;56;340;169;171;0;0;0;0;0;0;1;1;0;1;0;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;C;0;R;2;0;2;0;0;0;3;2;0;1;0;3;0;3;2;0;3;0;3;1;0;3;0;3;1;0;2;0;3;0;3;0;3;0;1;1;0;0;0;Imphal;30;1;1;0;0;0;2;;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168600;1407000200168600;Nurathel;259638;259638;1407000200170000.0;14;7;2;168600;0;0;;NURATHEL;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;7;2;2;168600;NURATHEL;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;;;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168900;1407000200168900;Sadu Longa Koireng;259639;259639;1407000200170000.0;14;7;2;168900;0;0;VILLAGE;Sadu Longa Koireng;Rural;31;169;83;86;32;19;13;0;0;0;0;0;0;86;43;43;83;40;43;67;33;34;67;33;34;61;33;28;0;0;0;3;0;3;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;50;52;14;7;2;2;168900;SADU LONGA KOIRENG;267.67;31;169;83;86;0;0;0;0;0;0;1;1;0;0;1;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;HP;0;TK;2;0;2;0;0;0;3;2;0;1;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;3;1;0;1;1;0;0;3;0;1;1;0;0;0;Imphal;17;1;1;0;0;0;1;N;M;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;07;0002;00168800;1407000200168800;Purum Khunou;259640;259640;1407000200170000.0;14;7;2;168800;0;0;VILLAGE;Purum Khunou;Rural;32;175;91;84;22;13;9;0;0;0;0;0;0;101;63;38;74;28;46;100;62;38;36;36;0;28;28;0;0;0;0;2;2;0;6;6;0;64;26;38;44;24;20;19;1;18;1;1;0;0;0;0;75;29;46;14;7;2;2;168800;PURUM KHUNOU;107.89;32;175;91;84;0;0;0;0;0;0;1;1;0;0;2;0;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;HP;0;R;2;0;2;0;0;0;3;1;1;0;0;3;0;3;2;0;3;0;3;2;0;3;0;3;0;3;2;0;2;0;2;0;3;0;1;1;0;0;0;Imphal;22;1;1;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
14;06;0001;00150700;1406000100150700;Kanglatongbi;259641;259641;1406000100150000.0;14;6;1;150700;0;0;VILLAGE;Kanglatongbi;Rural;697;4326;2193;2133;590;293;297;16;7;9;282;155;127;2928;1650;1278;1398;543;855;1731;1026;705;1130;849;281;386;311;75;68;41;27;20;7;13;656;490;166;601;177;424;121;41;80;150;41;109;90;10;80;240;85;155;2595;1167;1428;14;6;1;1;150700;KANGLATONGBI;1201.58;697;4326;2193;2133;16;7;9;282;155;127;1;7;0;5;0;4;0;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;W;0;R;1;0;1;0;0;10;0;1;1;0;0;3;0;3;2;0;1;0;1;2;0;3;0;3;0;3;1;1;0;1;0;0;3;1;1;1;0;0;0;Sekmai;3;1;1;0;0;0;1;N;;2;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
