OBJECTID;SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;UID_1;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU;Shape_Leng;Shape_Area
1.0;13;01;0003;00000000;1301000300000000;Hunta;259529;259529;1301000300000000.0;13;1;3;0;0;0;CIRCLE;Hunta;Total;987;6779;3481;3298;1145;611;534;0;0;0;6670;3419;3251;2830;1608;1222;3949;1873;2076;3909;2002;1907;1615;1093;522;1445;954;491;22;12;10;8;7;1;140;120;20;2294;909;1385;2231;899;1332;17;7;10;41;1;40;5;2;3;2870;1479;1391;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60338.412988449876;120884866.30738622
2.0;13;01;0002;00000000;1301000200000000;Tizit;259530;259530;1301000200000000.0;13;1;2;0;0;0;CIRCLE;Tizit;Total;3419;18535;10520;8015;2983;1550;1433;0;0;0;14026;7508;6518;9950;6189;3761;8585;4331;4254;8249;5482;2767;6264;4886;1378;3039;2036;1003;285;207;78;24;14;10;2916;2629;287;1985;596;1389;1427;374;1053;248;74;174;90;25;65;220;123;97;10286;5038;5248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96450.02923934821;245778599.27095968
3.0;13;01;0001;00000000;1301000100000000;Naginimora;259531;259531;1301000100000000.0;13;1;1;0;0;0;CIRCLE;Naginimora;Total;1964;12587;6666;5921;1691;866;825;0;0;0;8641;4321;4320;6857;3968;2889;5730;2698;3032;4773;3107;1666;3694;2648;1046;1539;825;714;331;226;105;44;36;8;1780;1561;219;1079;459;620;491;193;298;207;95;112;29;11;18;352;160;192;7814;3559;4255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81988.93996303792;174842896.314842
4.0;13;01;0005;00000000;1301000500000000;Mon Sadar;259532;259532;1301000500000000.0;13;1;5;0;0;0;CIRCLE;Mon Sadar;Total;6633;46332;25196;21136;7243;3816;3427;0;0;0;42907;22802;20105;26849;15591;11258;19483;9605;9878;20157;11985;8172;15027;9878;5149;8872;5192;3680;277;211;66;647;327;320;5231;4148;1083;5130;2107;3023;3710;1421;2289;651;237;414;138;64;74;631;385;246;26175;13211;12964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120969.30424437251;366804507.5341099
5.0;13;01;0004;00000000;1301000400000000;Shangnyu;259533;259533;1301000400000000.0;13;1;4;0;0;0;CIRCLE;Shangnyu;Total;1153;7066;3638;3428;1188;582;606;0;0;0;7047;3622;3425;1705;987;718;5361;2651;2710;3761;1952;1809;3589;1835;1754;3449;1714;1735;7;5;2;29;21;8;104;95;9;172;117;55;121;72;49;46;42;4;0;0;0;5;3;2;3305;1686;1619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57793.59416009454;111530080.45869927
6.0;13;01;0009;00000000;1301000900000000;Phomching;259534;259534;1301000900000000.0;13;1;9;0;0;0;CIRCLE;Phomching;Total;1407;11315;6084;5231;1524;785;739;0;0;0;11222;6001;5221;2098;1358;740;9217;4726;4491;7107;3830;3277;5626;3447;2179;5281;3176;2105;37;23;14;31;22;9;277;226;51;1481;383;1098;1419;345;1074;49;28;21;2;1;1;11;9;2;4208;2254;1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63410.83135108369;126522328.9986114
7.0;13;02;0001;00000000;1302000100000000;Tamlu;259535;259535;1302000100000000.0;13;2;1;0;0;0;CIRCLE;Tamlu;Total;3020;25039;13455;11584;2430;1296;1134;0;0;0;23723;12732;10991;14570;8233;6337;10469;5222;5247;11575;6455;5120;10494;5943;4551;9359;5103;4256;273;180;93;122;85;37;740;575;165;1081;512;569;681;301;380;154;81;73;91;41;50;155;89;66;13464;7000;6464;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73380.42671638395;119796498.74955969
8.0;13;03;0003;00000000;1303000300000000;Tuli;259536;259536;1303000300000000.0;13;3;3;0;0;0;CIRCLE;Tuli;Total;4419;27735;14579;13156;2481;1222;1259;0;0;0;23875;12373;11502;22068;11901;10167;5667;2678;2989;11773;6971;4802;9720;5934;3786;6319;3262;3057;174;111;63;234;153;81;2993;2408;585;2053;1037;1016;1056;529;527;670;328;342;57;13;44;270;167;103;15962;7608;8354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81505.04158770267;172095656.32019454
9.0;13;01;0006;00000000;1301000600000000;Wakching;259537;259537;1301000600000000.0;13;1;6;0;0;0;CIRCLE;Wakching;Total;2716;23676;12151;11525;3663;1680;1983;0;0;0;23084;11823;11261;7155;4472;2683;16521;7679;8842;11108;6059;5049;10152;5706;4446;8538;4641;3897;968;582;386;59;30;29;587;453;134;956;353;603;285;73;212;425;182;243;127;35;92;119;63;56;12568;6092;6476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70871.70954742466;177593862.23331475
10.0;13;01;0008;00000000;1301000800000000;Longshen;259538;259538;1301000800000000.0;13;1;8;0;0;0;CIRCLE;Longshen;Total;2345;25710;13752;11958;2864;1456;1408;0;0;0;25257;13516;11741;9455;5458;3997;16255;8294;7961;16488;8969;7519;13797;7536;6261;13506;7329;6177;8;8;0;107;65;42;176;134;42;2691;1433;1258;2370;1255;1115;254;138;116;30;12;18;37;28;9;9222;4783;4439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;74162.70719532938;128022325.51199782
