SID;DID;TID;VILL_CODE;C_CODE01;NAME;UID;CENSUS_COD;STATE;DISTRICT;SUB_DIST;TOWN_VILL;WARD;EB;LEVEL;NAME_1;TRU;No_HH;TOT_P;TOT_M;TOT_F;P_06;M_06;F_06;P_SC;M_SC;F_SC;P_ST;M_ST;F_ST;P_LIT;M_LIT;F_LIT;P_ILL;M_ILL;F_ILL;TOT_WORK_P;TOT_WORK_M;TOT_WORK_F;MAINWORK_P;MAINWORK_M;MAINWORK_F;MAIN_CL_P;MAIN_CL_M;MAIN_CL_F;MAIN_AL_P;MAIN_AL_M;MAIN_AL_F;MAIN_HH_P;MAIN_HH_M;MAIN_HH_F;MAIN_OT_P;MAIN_OT_M;MAIN_OT_F;MARGWORK_P;MARGWORK_M;MARGWORK_F;MARG_CL_P;MARG_CL_M;MARG_CL_F;MARG_AL_P;MARG_AL_M;MARG_AL_F;MARG_HH_P;MARG_HH_M;MARG_HH_F;MARG_OT_P;MARG_OT_M;MARG_OT_F;NON_WORK_P;NON_WORK_M;NON_WORK_F;ST_CODE;DIST_CODE;THSIL_CODE;BLOCK_CODE;V_CT_CODE;VILL_NAME;AREA;T_HH;T_P;T_M;T_F;SC_P;SC_M;SC_F;ST_P;ST_M;ST_F;EDU_FAC;P_SCH;RANG_P_SCH;M_SCH;RANG_M_SCH;S_SCH;S_S_SCH;COLLEGE;RANG_COLL;IND_SCH;TR_SCH;ADLT_LT_CT;OTH_SCH;MEDI_FAC;ALL_HOSP;RANG_ALL;AYU_HOSP;UN_HOSP;HOM_HOSP;ALL_DISP;AYU_DISP;UN_DISP;HOM_DISP;MCW_CNTR;RANG_MCW;M_HOME;CWC;H_CNTR;PH_CNTR;RANG_PHC;PHS_CNT;FWC_CNTR;TB_CLN;N_HOME;RMP;SMP;CHW;OTH_CNTR;DRNK_WAT_F;RANG_WAT_F;TAP;WELL;TANK;TUBEWELL;HANDPUMP;RIVER;CANAL;LAKE;SPRING;OTHER;SOU_SUMM;RANG_SS;SS_CODE;P_T_FAC;POST_OFF;RANG_PO;TELE_OFF;POST_TELE;PHONE;RANG_PHONE;COMM_FAC;BS_FAC;RANG_BS;RS_FAC;RANG_RS;NW_FAC;RANG_NW;BANK_FAC;COMM_BANK;RANG_COMM;COOP_BANK;RANG_COOP;CRSOC_FAC;AC_SOC;RANG_ACS;NAC_SOC;RANG_NAC;OTHER_SOC;RANG_OTH;RC_FAC;C_V_HALL;RANG_CV;SP_CL_FAC;RANG_SPCL;ST_AU_FAC;RANG_STAU;APP_PR;APP_MR;APP_FP;APP_NAVRIV;APP_NAVCAN;APP_NW;NEAR_TOWN;DIST_TOWN;POWER_SUPL;POWER_DOM;POWER_AGR;POWER_OTH;POWER_ALL;PAP_MAG;NEWS_PAP;MAGAZINE;A_INCEXP;TOT_INC;TOT_EXP;MAN_COMM1;MAN_COMM2;MAN_COMM3;LAND_FORES;CANAL_GOVT;CANAL_PVT;WELL_WO_EL;WELL_W_EL;TW_WO_EL;TW_W_EL;TANK_IRR;RIVER_IRR;LAKE_IRR;W_FALL;OTH_IRR;TOT_IRR;UN_IRR;CULT_WASTE;AREA_NA_CU
16;01;0012;00018500;1601001200018500;MADHUPUR;260677;1601001200020000.0;16;1;12;18500;0;0;VILLAGE;Madhupur;Rural;842;4179;2136;2043;581;280;301;656;334;322;695;348;347;2670;1491;1179;1509;645;864;1408;1169;239;1314;1137;177;374;351;23;373;278;95;21;20;1;546;488;58;94;32;62;7;3;4;66;20;46;4;0;4;17;9;8;2771;967;1804;16;1;12;12;18500;Madhupur;623;842;4179;2136;2043;656;334;322;695;348;347;1;6;0;2;0;1;1;0;3;0;0;0;0;1;0;3;0;0;0;2;1;0;2;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;0;T;0;;1;1;0;0;0;2;0;1;1;0;0;3;0;3;2;0;3;0;3;1;1;0;1;0;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;24;1;0;0;0;1;1;N;M;1;487454;364750;WOODEN FURNITURE;BAMBOO GOODS;RUBBER;51.09;0.0;0.0;0.0;0;0.0;70.97;0;0.0;0.0;0;0.0;70.97;476.91;5.77;18.47
16;01;0012;00019100;1601001200019100;DAKSHIN CHAMPAMURA;260678;1601001200020000.0;16;1;12;19100;0;0;VILLAGE;Dakshin champamura;Rural;659;3224;1618;1606;430;187;243;486;239;247;0;0;0;2141;1192;949;1083;426;657;1190;938;252;968;840;128;156;142;14;132;113;19;33;25;8;647;560;87;222;98;124;11;5;6;73;40;33;13;0;13;125;53;72;2034;680;1354;16;1;12;12;19100;Dakshin champamura;820;659;3224;1618;1606;486;239;247;0;0;0;1;2;0;1;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;0;0;T;0;;1;1;0;0;0;10;0;1;1;0;0;3;0;3;2;0;2;0;3;2;0;2;0;1;0;3;2;0;2;0;2;0;3;1;1;1;0;0;0;Agartala;17;1;0;0;0;1;1;N;;2;0;0;WOODEN FURNITURE;VEGETABLE;RICE;0.0;0.0;0.0;0.0;0;0.0;29.54;0;0.0;0.0;0;0.0;29.54;485.55;139.85;165.03
16;01;0012;00018200;1601001200018200;DEBIPUR;260679;1601001200020000.0;16;1;12;18200;0;0;VILLAGE;Debipur;Rural;592;2698;1398;1300;352;175;177;417;217;200;335;170;165;1752;1029;723;946;369;577;1067;788;279;653;586;67;295;281;14;103;94;9;4;2;2;251;209;42;414;202;212;30;11;19;181;85;96;8;3;5;195;103;92;1631;610;1021;16;1;12;12;18200;Debipur;871;592;2698;1398;1300;417;217;200;335;170;165;1;2;0;0;2;0;0;0;3;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;T;0;;1;0;2;0;0;1;0;1;1;0;0;3;0;3;2;0;3;0;3;1;0;3;1;0;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;29;1;0;0;0;1;1;N;M;2;0;0;WOOD;BAMBOO;RUBBER;143.26;0.0;0.0;0.0;0;0.0;202.34;0;0.0;0.0;0;0.0;202.34;393.3;101.17;30.94
16;01;0012;00018100;1601001200018100;KAMALASAGAR;260680;1601001200020000.0;16;1;12;18100;0;0;VILLAGE;Kamalasagar;Rural;361;1868;985;883;312;181;131;870;439;431;11;6;5;943;595;348;925;390;535;708;497;211;487;428;59;134;129;5;66;57;9;2;2;0;285;240;45;221;69;152;22;5;17;90;27;63;1;0;1;108;37;71;1160;488;672;16;1;12;12;18100;Kamalasagar;397;361;1868;985;883;870;439;431;11;6;5;1;2;0;1;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;1;T;0;;1;1;0;0;0;1;0;1;1;0;0;3;0;3;2;0;3;0;3;1;0;3;1;0;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;32;1;0;0;0;1;1;N;M;2;0;0;BAMBOO;WOODEN FURNITURE;RUBBER;101.17;0.0;0.0;0.0;0;0.0;20.23;0;0.0;0.0;0;0.0;20.23;80.94;182.11;12.69
16;01;0012;00018700;1601001200018700;NEHALCHANDRANAGAR;260681;1601001200020000.0;16;1;12;18700;0;0;VILLAGE;Nehalchandranagar;Rural;1161;5513;2768;2745;759;388;371;1154;607;547;476;226;250;3625;1972;1653;1888;796;1092;1513;1418;95;1426;1361;65;563;551;12;475;446;29;22;20;2;366;344;22;87;57;30;2;1;1;35;27;8;15;4;11;35;25;10;4000;1350;2650;16;1;12;12;18700;Nehalchandranagar;1170;1161;5513;2768;2745;1154;607;547;476;226;250;1;2;0;2;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;T;0;;1;1;0;0;0;7;0;1;1;0;0;3;0;3;2;0;2;0;3;1;0;3;1;0;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;20;1;1;1;0;0;1;N;M;2;0;0;WOODEN FURNITURE;FRUIT JUICE;BAMBOO GOODS;162.29;0.0;0.0;0.0;0;0.0;48.93;0;0.0;0.0;0;0.0;48.93;615.62;140.53;202.65
16;01;0012;00019300;1601001200019300;GOPINAGAR;260682;1601001200020000.0;16;1;12;19300;0;0;VILLAGE;Gopinagar;Rural;1419;6964;3583;3381;956;497;459;1972;1016;956;134;66;68;4831;2691;2140;2133;892;1241;2001;1655;346;1711;1533;178;569;543;26;482;424;58;99;66;33;561;500;61;290;122;168;33;24;9;120;60;60;54;5;49;83;33;50;4963;1928;3035;16;1;12;12;19300;Gopinagar;1055;1419;6964;3583;3381;1972;1016;956;134;66;68;1;3;0;1;0;1;0;0;3;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;W;0;;1;1;0;0;0;10;0;1;1;0;0;3;0;3;2;0;2;0;3;1;1;0;0;3;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;37;1;1;0;0;0;1;N;;1;1500;1500;WOOD;BAMBOO;RUBBER;103.72;0.0;0.0;0.0;0;0.0;0.0;0;129.98;0.0;0;0.0;129.98;583.89;133.67;103.74
16;01;0012;00018400;1601001200018400;KONABAN;260683;1601001200020000.0;16;1;12;18400;0;0;VILLAGE;Konaban;Rural;653;3153;1689;1464;463;236;227;1145;610;535;1407;745;662;1729;1114;615;1424;575;849;1069;904;165;972;866;106;185;173;12;452;389;63;1;1;0;334;303;31;97;38;59;10;4;6;58;18;40;2;0;2;27;16;11;2084;785;1299;16;1;12;12;18400;Konaban;798;653;3153;1689;1464;1145;610;535;1407;745;662;1;3;0;1;0;1;0;0;3;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;T;0;;1;1;0;0;0;1;0;1;1;0;0;3;0;3;2;0;2;0;3;2;0;2;0;2;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;30;1;0;0;0;1;1;N;M;2;0;0;WOODEN FURNITURE;BRICKS;TEA;10.94;0.0;0.0;0.0;0;0.0;0.0;0;50.59;0.0;0;0.0;50.59;343.17;202.35;120.94
16;01;0012;00018300;1601001200018300;RADHANAGAR;260684;1601001200020000.0;16;1;12;18300;0;0;VILLAGE;Radhanagar;Rural;455;2213;1125;1088;338;158;180;336;173;163;262;118;144;1109;651;458;1104;474;630;743;563;180;676;527;149;184;183;1;166;149;17;5;4;1;321;191;130;67;36;31;24;21;3;25;10;15;4;0;4;14;5;9;1470;562;908;16;1;12;12;18300;Radhanagar;1146;455;2213;1125;1088;336;173;163;262;118;144;1;1;0;0;2;0;0;0;3;0;0;1;1;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;T;0;;1;1;0;0;0;5;0;1;1;0;0;3;0;3;2;0;3;0;3;1;0;3;1;0;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;32;1;0;0;0;1;1;N;M;2;0;0;WOOD;BAMBOO;RUBBER;485.62;0.0;0.0;0.0;0;0.0;20.23;0;0.0;0.0;0;0.0;20.23;202.35;333.87;103.72
16;01;0012;00018600;1601001200018600;KAIYADHEPA;260685;1601001200020000.0;16;1;12;18600;0;0;VILLAGE;Kaiyadhepa;Rural;1064;5376;2777;2599;886;467;419;1449;773;676;1572;786;786;2722;1625;1097;2654;1152;1502;1689;1314;375;1460;1263;197;481;434;47;647;528;119;4;3;1;328;298;30;229;51;178;51;7;44;136;26;110;2;2;0;40;16;24;3687;1463;2224;16;1;12;12;18600;Kaiyadhepa;1158;1064;5376;2777;2599;1449;773;676;1572;786;786;1;2;0;1;0;0;0;0;3;0;0;0;0;1;0;3;0;0;0;1;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;T;0;;1;1;0;0;0;4;0;1;1;0;0;3;0;3;2;0;2;0;3;2;0;2;0;2;0;3;2;0;3;0;3;0;3;1;1;1;0;0;0;Agartala;35;1;0;0;0;1;1;N;M;1;275358;265025;WOOD;BAMBOO;VEGETABLE;200.79;0.0;0.0;0.0;0;0.0;50.87;0;0.0;0.0;0;0.0;50.87;601.05;140.45;165.16
16;01;0012;00019000;1601001200019000;BISHALGARH;260686;1601001200020000.0;16;1;12;19000;0;0;VILLAGE;Bishalgarh;Rural;5133;23721;12248;11473;2721;1388;1333;4925;2528;2397;153;91;62;17996;9926;8070;5725;2322;3403;7540;6329;1211;6658;5863;795;416;387;29;312;286;26;425;224;201;5505;4966;539;882;466;416;35;13;22;208;171;37;129;24;105;510;258;252;16181;5919;10262;16;1;12;12;19000;Bishalgarh;1140;5133;23721;12248;11473;4925;2528;2397;153;91;62;1;3;0;3;0;2;1;0;3;0;0;0;2;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;T;0;;1;1;0;1;0;225;0;1;1;0;0;3;0;3;1;2;0;0;3;1;1;0;1;0;1;0;1;1;0;1;0;0;3;1;1;1;0;0;0;Agartala;20;1;0;0;0;1;1;N;M;2;0;0;STEEL FURNITURE;RUBBER;RICE;0.0;0.0;0.0;0.0;0;0.0;0.0;0;521.17;0.0;0;0.0;521.17;439.04;126.29;53.43
